delta_seconds,normalized_A1,normalized_A4,normalized_B6,normalized_F5,normalized_G4,normalized_G5,normalized_H4,normalized_H5,normalized_A1_std,normalized_A4_std,normalized_B6_std,normalized_F5_std,normalized_G4_std,normalized_G5_std,normalized_H4_std,normalized_H5_std,median_time_AmbientSamplingRFC,median_time_BreathSampleCollection,median_time_FeNOWindow,median_time_FeNOMeasurement,median_time_CleaningCycle,min_time_AmbientSamplingRFC,min_time_BreathSampleCollection,min_time_FeNOWindow,min_time_FeNOMeasurement,min_time_CleaningCycle,max_time_AmbientSamplingRFC,max_time_BreathSampleCollection,max_time_FeNOWindow,max_time_FeNOMeasurement,max_time_CleaningCycle,event_name,reference_event_name,reference_event_value_normalized_A1,reference_event_value_normalized_A4,reference_event_value_normalized_B6,reference_event_value_normalized_F5,reference_event_value_normalized_G4,reference_event_value_normalized_G5,reference_event_value_normalized_H4,reference_event_value_normalized_H5,reference_event_iqr_normalized_A1,reference_event_iqr_normalized_A4,reference_event_iqr_normalized_B6,reference_event_iqr_normalized_F5,reference_event_iqr_normalized_G4,reference_event_iqr_normalized_G5,reference_event_iqr_normalized_H4,reference_event_iqr_normalized_H5,unadjusted_delta_seconds
92.60862353662996,0.0022108845886623625,0.00011499313666643136,0.0033517423322606244,4.0444517490354524e-05,-3.3600796230646253e-06,-0.00017323466660272205,3.1848212509800103e-07,6.49251263234106e-05,0.0008818819270004178,0.00012149796613353286,0.00408740430536653,0.0012902446618397927,0.00039154090380489286,0.0024234645994363653,2.6189999627783313e-05,8.026375207497576e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,92.60862353662996
92.9122583678976,0.002215094594619803,0.00011472333946783712,0.0034026265257355555,7.846290356282846e-05,-1.2197682744257593e-06,-9.20316723049471e-05,-2.934381608095201e-06,6.359817019034836e-05,0.0008092833955547418,0.00012058677183469737,0.003918710070418448,0.0011175814548898557,0.0004046448112643874,0.0021485553446372904,4.0055172873814536e-05,8.387688701926234e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,92.9122583678976
93.21589319916525,0.002202988209790598,0.00011462779912246202,0.0034572381987532383,0.00011652064943224477,9.193098619629449e-07,-1.1534468411878102e-05,-5.21252986784259e-06,6.264402722459627e-05,0.0007028990684194477,0.00012115879049264704,0.0037660511687114076,0.0009813420703617833,0.00043314890809610955,0.0019368817931738292,5.857945854751698e-05,8.318658907659901e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,93.21589319916525
93.51952803043288,0.002198630708285464,0.00011630437575629261,0.0035803101442410425,0.00013611239562184017,8.205216056894262e-06,8.788857959942009e-05,-9.946571914694415e-06,6.20237403692719e-05,0.000681237418070824,0.00011873891098839752,0.0035380716130893144,0.0008771052958895533,0.00046686768266590876,0.0018116950653040633,7.793272081000681e-05,8.079556939632234e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,93.51952803043288
93.82316286170052,0.0022081534048117623,0.00011763413836910795,0.003687827263273669,0.00014577119057789992,2.202860517043973e-05,0.0001459574560910831,-1.2633322488231881e-05,6.203954452680694e-05,0.0005679138800543625,0.00011494560052534343,0.0036559247365930917,0.0008675710632669293,0.0004710110261934053,0.0017870961463242359,8.582320196649056e-05,7.241090410658323e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,93.82316286170052
94.12679769296817,0.002220475411452065,0.00011859970437874621,0.0038177286284561533,0.00014999408796048452,3.1897385408439724e-05,0.00021368892814745745,-1.1418737484631826e-05,6.229026755839595e-05,0.0004469068332946819,0.00010605653420595939,0.0036210573092772935,0.0008656455696467475,0.0004190476217653131,0.0018390928962821072,9.230337788220605e-05,6.747069007989494e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,94.12679769296817
94.4304325242358,0.002220756042985069,0.0001202711046973205,0.003890377966091818,0.00015516677229490618,3.584816170359964e-05,0.0002568116709879146,-1.2399363931793063e-05,6.200023039065774e-05,0.00032013684958366725,9.961238382083049e-05,0.0032202243459738987,0.0008001261943530608,0.0003785251421868868,0.001807317901244709,9.679471885953708e-05,6.252483393015816e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,94.4304325242358
94.73406735550344,0.0022231228178335775,0.00012109915494533444,0.003956258619116493,0.00016054463910982478,3.806363231570417e-05,0.00031571147090256324,-1.201887568289012e-05,6.231411302626853e-05,0.0002384134539855096,9.65821409828269e-05,0.0029136964809617825,0.000688203076769411,0.000351869373243547,0.0017522907513907817,0.0001072665855997279,6.14982739020628e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,94.73406735550344
95.03770218677109,0.0022645736919301093,0.00012181397554087133,0.004046592931070312,0.0001399829005374967,4.660113803097992e-05,0.00035800407489028206,-8.355192041528612e-06,6.420647105171478e-05,0.0001270567752427892,9.49534808633341e-05,0.002798955313874867,0.000696451811959898,0.00034129763410233803,0.0017483622819801853,0.00011102629188292342,6.839946200887706e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,95.03770218677109
95.34133701803871,0.002270990833816157,0.00012248465435995442,0.004137576408914118,0.00011789350553943114,5.125941465853088e-05,0.000395148875108642,3.8777615770185614e-07,6.573180744470951e-05,0.00013491177341481584,9.424352142316909e-05,0.002537804199138286,0.0007173662002860338,0.00033987256198654466,0.001777931357031823,0.00011345829614977211,8.012572927416044e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,95.34133701803871
95.64497184930636,0.0022358614104277886,0.0001231033682851287,0.004318696120095449,0.00011290954897116381,5.568671397047947e-05,0.00046059189710229083,6.957978346203229e-06,6.686222187516459e-05,0.0002843726510848273,9.300167224765773e-05,0.0021800697203785474,0.0006635541700662417,0.00036030704975142117,0.0017979076251197611,0.00011791060123794845,8.798663303224311e-05,0.0,31.57802245183448,39.77616289606074,44.330685365075325,75.60507298564217,0.0,30.9707527892992,39.4725280647931,43.41978087127241,74.69416849183925,0.0,31.88165728310212,40.079797727328376,44.330685365075325,76.21234264817745,CleaningCycle,AmbientSamplingRFC,1263.0,8103.0,5751.0,693.0,17176.0,4146.0,58432.0,7247.0,2.06,0.06,2.43,0.29,0.23,0.24,0.02,0.03,95.64497184930636
