component_sn,sn,d,t,T0,H0,event_name
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:16.012Z,E,23.09,16.11,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:17.017Z,E,23.1,16.1,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:18.029Z,E,23.09,16.08,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:19.036Z,E,23.09,16.1,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:20.043Z,E,23.09,16.08,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:21.050Z,E,23.1,16.07,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:22.059Z,E,23.08,16.06,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:23.065Z,E,23.09,16.04,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:24.073Z,E,23.1,16.03,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:25.081Z,E,23.11,15.97,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:26.088Z,E,23.09,15.98,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:27.094Z,E,23.11,15.95,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:28.099Z,E,23.1,15.99,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:29.159Z,E,23.11,15.94,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:30.165Z,E,23.12,15.92,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:31.172Z,E,23.08,15.93,recoveryOff
0000000009-3225-gns-nz,0000000009-1625-oms-nz,2026-03-18T17:05:32.179Z,E,23.1,15.91,recoveryOff
